id,rim_width_mm,rim_shoulder_mm,parting_line_mm,dome_mm,plate_thick_mm,nose_radius_mm,CL0,CLa,CD0,CDa,alpha0,CM0,CMa
geom_000,12.35,16.32,11.65,1.67,1.9,2.5,0.12189571428571438,2.8997394011570954,0.05572898773270508,2.267220703000171,-0.07641682046151478,-0.01876630952380951,0.22861698118333088
geom_001,12.3,16.46,10.05,3.08,3.21,1.68,0.09518000000000008,3.064341990586822,0.05427633265260365,2.7600324657816935,-0.043062356153951944,-0.015377380952380941,0.21525478688974412
geom_002,11.19,17.89,13.56,3.91,1.7,3.57,0.11342797619047627,3.0114729921337386,0.05823579650144005,2.1452878957140213,-0.09869249773801568,-0.016119642857142853,0.18635452286630017
geom_003,14.7,17.61,10.33,4.29,2.51,2.61,0.1011601190476191,2.958310693856957,0.05555303696004775,2.681696716371364,-0.0446489401800934,-0.01583547619047618,0.2152002194806841
geom_004,12.7,16.73,8.25,2.12,2.0,2.45,0.08548523809523817,3.0711902004238625,0.05895270366209435,2.1734696592213956,-0.062392739906344176,-0.01675738095238094,0.2173829158430872
geom_005,9.04,15.27,9.93,3.99,2.64,2.78,0.1482444047619048,2.9601114183559396,0.06700092758021052,2.2928839113712938,-0.06553686055234564,-0.03250976190476189,0.2670119743832284
geom_006,13.37,19.12,12.04,5.87,1.95,3.03,0.07031321428571434,2.9987587858227402,0.054974501403349564,3.3740388386542595,-0.020315528268973395,-0.00756011904761904,0.17887878782506947
geom_007,17.46,18.96,11.1,2.76,1.96,3.47,0.0650626190476191,2.7412620033943633,0.05543637042250552,2.6507358575412243,-0.02078046578929959,-0.007415952380952372,0.26714839290587866
geom_008,9.58,15.67,9.25,4.33,2.31,2.84,0.11847607142857146,3.1004178689016664,0.05724271261817966,2.4062623158670684,-0.06613662112851028,-0.0230292857142857,0.204013900623368
geom_009,15.18,14.27,11.48,0.65,1.62,1.73,0.08138511904761911,2.775496231653429,0.05649155731404811,2.2490697366733863,-0.05667518172653656,-0.010669285714285711,0.25991821120541836
geom_010,19.48,17.04,9.29,5.16,2.87,2.43,0.09378690476190477,2.8073158520615875,0.049194753983897194,2.6216422033810685,-0.03185585797255697,-0.015447142857142845,0.2585676678311814
geom_011,16.35,14.67,8.52,3.55,1.71,1.67,0.12230095238095241,2.8958651151138293,0.049470505776123296,2.4196367121078595,-0.05026630936049583,-0.02042845238095236,0.26786459014979214
geom_012,10.86,15.8,12.76,1.72,1.78,2.57,0.08952154761904774,2.9962896105627705,0.05729240221606217,2.139382318153153,-0.08248972726767725,-0.01204607142857142,0.19171577080645286
geom_013,18.17,19.13,12.08,5.35,2.42,3.38,0.07090380952380951,2.642454067438826,0.05518375222348804,2.534752051180362,-0.024369518102405667,-0.007805833333333326,0.2777549330419315
geom_014,21.09,19.1,14.0,2.73,2.97,2.28,0.06315678571428575,2.5225080813986405,0.05295990554684186,2.934637814107057,-0.019171711750325757,-0.0037399999999999916,0.27641121059382695
geom_015,19.2,18.81,12.08,3.46,3.29,1.64,0.06659309523809528,2.7964569376586317,0.05227974881237597,2.936157631861689,-0.02201001197660109,-0.007642380952380947,0.25761273817263003
geom_016,12.79,17.2,9.0,4.62,2.47,3.07,0.09236321428571426,3.0574460342668552,0.05741413498653687,2.328404223465337,-0.06009474480955819,-0.01690797619047619,0.19496253164552757
geom_017,16.85,13.58,7.21,2.13,1.98,3.5,0.12488572327044013,2.697991592370357,0.04996647730413686,2.0703134010175552,-0.054046207509412,-0.024618805031446547,0.3254544416668896
geom_018,15.92,19.06,15.28,3.26,2.75,2.35,0.0540364285714286,2.730430372695937,0.05758497003932702,3.198912409955885,-0.021491800750042655,0.0003639285714285743,0.229367283057907
geom_019,9.53,19.79,14.2,5.53,2.11,2.78,0.08980107142857156,2.9682692460104203,0.06017311344906247,3.5283654757963476,-0.026300439636523135,-0.00885857142857142,0.16607590947434853
geom_020,9.91,15.62,11.41,5.43,1.7,1.96,0.11353023809523816,3.0569890322159763,0.05757047082426417,2.9526150869761665,-0.04687126420089789,-0.016326071428571422,0.18795061958130743
geom_021,17.68,18.63,12.24,3.94,2.32,1.82,0.0718892857142858,2.8168651486471012,0.05264747344545586,3.0993860587094963,-0.02151364785358015,-0.008161071428571424,0.23464667988446958
geom_022,19.28,15.91,9.67,3.78,1.95,1.89,0.10701190476190481,2.714210210352829,0.04867398069690821,2.460758638211842,-0.04375611795244551,-0.016827380952380937,0.27205945972128565
geom_023,16.96,19.84,11.03,1.43,1.68,1.66,0.0417888095238096,2.9647428271999132,0.05403841546869129,3.2674344790077163,-0.011877451958492722,-0.0034995238095238035,0.21595052135526016
geom_024,20.49,19.14,9.83,2.32,2.89,2.7,0.06729892857142855,2.749358442713653,0.05049489228047602,2.7265096284508874,-0.01641049797171733,-0.009846071428571416,0.2762679711450443
geom_025,17.28,18.42,12.46,5.99,3.22,1.97,0.08046928571428573,2.66265765064332,0.05228808084742017,2.994475210275259,-0.01502663694161948,-0.00932571428571428,0.2600409878758035
geom_026,16.86,19.51,10.89,2.06,2.53,1.96,0.04912797619047625,2.9317500074969636,0.054734508178064765,3.07632825220346,-0.015370205288630315,-0.00583559523809523,0.22669348001396314
geom_027,11.24,13.5,10.58,5.3,2.22,2.89,0.11828321428571432,2.8646048106485376,0.0599520821401586,2.2604900815153592,-0.06148650418702018,-0.02222809523809522,0.2712000230285895
geom_028,10.13,15.04,11.41,1.45,2.12,2.11,0.1148988095238096,2.985778563392574,0.05732345331788367,2.3214564851584325,-0.07456866259752944,-0.018376309523809514,0.22599774554844718
geom_029,13.79,16.92,9.05,3.88,2.52,1.8,0.08345047619047624,3.0310558710601736,0.05382674729596657,2.7413604190818934,-0.03800834511698834,-0.014297261904761898,0.1978682461779767
geom_030,18.64,14.57,10.05,5.14,2.34,2.83,0.09361011904761912,2.6621733648879116,0.05052910394707832,2.194660261057452,-0.047878710776722365,-0.014064404761904752,0.30255582045973706
geom_031,22.2,16.97,13.01,4.55,2.56,2.13,0.05923166666666673,2.5393625898720726,0.05242855567135889,2.6731857369454053,-0.018823081555373416,-0.003936666666666653,0.30189419062488354
geom_032,20.78,14.94,12.37,4.47,2.68,2.56,0.07230214285714293,2.678700468906982,0.05213976205455442,2.4847717587350764,-0.0413850012630805,-0.007009404761904759,0.2876998433431308
geom_033,22.91,18.33,14.72,4.26,1.63,2.49,0.03943214285714285,2.5399628313717337,0.054315029189996464,3.077761223229259,-0.012517821118701531,0.0027096428571428553,0.286499360343809
geom_034,14.32,17.09,10.64,1.38,2.21,2.04,0.08665011904761903,2.9342464664614627,0.0561338457098971,2.329967464584389,-0.05592375551601028,-0.013473809523809511,0.23313925520918485
geom_035,16.47,16.08,7.63,5.64,2.98,2.99,0.10342547619047612,2.884583303290659,0.050474066081589726,2.541178709114244,-0.03678325910871239,-0.01985238095238094,0.23690440643433025
geom_036,16.83,14.16,8.97,4.04,1.61,3.46,0.10903821428571421,2.7978552275157975,0.04861667819087827,2.267872053466444,-0.05281252628019043,-0.017782023809523793,0.2829661206071688
geom_037,12.87,18.19,9.03,4.37,2.02,2.7,0.07759130952380955,3.001596291093865,0.05957229676302597,2.4176826607090405,-0.04771560334733271,-0.01319142857142856,0.19717933263859325
geom_038,12.49,17.79,12.25,3.17,2.33,2.1,0.08464011904761905,2.999972910674327,0.06057717736371976,2.7178249555672576,-0.04731496165408697,-0.011289523809523798,0.19556959407132088
geom_039,19.76,18.92,9.53,4.6,2.65,1.8,0.07470714285714293,2.809539473980786,0.0497491219573542,2.9462318524067013,-0.01768905049124031,-0.011814642857142848,0.23812535221204956
geom_040,19.33,18.15,10.72,5.93,1.92,1.83,0.08373476190476195,2.713391699216928,0.05019041087734519,2.907150824430372,-0.019580957562012887,-0.010369999999999992,0.2667527791901931
geom_041,18.08,13.36,6.88,2.86,1.81,3.28,0.11763083333333331,2.715581216505463,0.049424941039630466,2.0849728425372183,-0.04768658264610199,-0.023525238095238078,0.32563101356601776
geom_042,20.33,18.87,13.35,1.02,1.65,3.38,0.05612738095238107,2.6719613938880618,0.05309886242581891,2.8742359142014164,-0.0245137401209807,-0.002681666666666661,0.2588814304332769
geom_043,22.81,17.03,11.23,3.75,1.75,1.74,0.08384404761904761,2.5854993342323693,0.04827644670977155,2.7667196639020895,-0.02495493486954567,-0.010021547619047614,0.3051750560946209
geom_044,20.27,19.88,13.74,5.79,2.17,1.7,0.07178107142857142,2.423304531727419,0.05459136790533556,2.479995188649081,-0.018777141504331813,-0.004895476190476181,0.30638236002007513
geom_045,11.85,16.3,11.45,1.76,2.54,3.29,0.10667464285714283,2.909868476463873,0.05676988978494622,2.5307136782894726,-0.05638539502813961,-0.016382380952380947,0.22331712157837078
geom_046,20.09,17.63,12.9,4.69,1.73,2.9,0.06377785714285716,2.570084041172897,0.051610567858478715,2.786216754525835,-0.020932036956661168,-0.003949166666666658,0.28288426949357887
geom_047,10.76,16.26,11.0,5.8,3.08,1.87,0.1180029761904763,3.08575287771677,0.05461295363153959,2.2445537067738996,-0.08277398713100231,-0.01989845238095237,0.1945259923730469
geom_048,20.92,18.14,11.88,0.9,2.41,3.14,0.08230297619047626,2.7094833085429992,0.05173613818691686,2.609006004335388,-0.04025109850339846,-0.009635238095238093,0.27201853416449073
geom_049,14.45,18.11,10.26,2.9,3.34,2.15,0.08286916666666663,2.9106187783384483,0.055695154257034245,2.7415341125395662,-0.03281542433240098,-0.012207976190476182,0.23040406383004844
geom_050,22.94,14.77,10.39,1.26,1.67,3.1,0.07442345238095245,2.578303257162571,0.048644004401910454,2.146503749917729,-0.049707917693401514,-0.009631309523809506,0.312964553737947
geom_051,14.75,18.86,14.66,2.37,1.66,1.8,0.062200000000000026,2.8888532030496097,0.05862235474638804,2.9983833130728916,-0.04153656132950459,-0.0020855952380952336,0.18200277199375894
geom_052,13.56,19.97,9.77,1.31,1.72,2.86,0.04436583333333338,3.0632438214794875,0.06088234687659339,2.9928251224273676,-0.024937833214053382,-0.005554523809523799,0.1783399346606011
geom_053,21.33,14.27,9.72,3.83,1.96,2.21,0.0873219047619048,2.661088837632843,0.04879140316698822,2.199480254507868,-0.04305331557469306,-0.012936666666666655,0.3204743934098403
geom_054,13.18,17.65,8.85,1.61,3.03,1.98,0.06567214285714294,3.0372901975452873,0.056940087780507374,2.503660922256969,-0.043657750728446645,-0.011357261904761893,0.19868675731387783
geom_055,22.66,16.84,11.5,3.29,2.17,2.03,0.07479297619047622,2.579176335707532,0.049269605014366814,2.7274215191036677,-0.023477054265642113,-0.008332738095238094,0.3112456803525546
geom_056,10.56,18.57,11.04,4.83,1.85,2.96,0.07327821428571431,3.1584912339938547,0.05821450601066308,3.2285705678534784,-0.03319942481539357,-0.009794285714285707,0.14790496225734243
geom_057,20.81,16.98,10.86,2.74,2.62,2.71,0.09313119047619056,2.6880587795607864,0.0496826889341373,2.3172878421742915,-0.052668781050602784,-0.012968333333333327,0.28501921937305436
geom_058,10.67,16.2,12.36,4.35,3.02,2.95,0.10169250000000002,2.906799059704243,0.0572371150066783,2.7463975293544,-0.04135743476544602,-0.013801904761904755,0.22350810751008107
geom_059,18.14,14.23,9.87,1.01,2.12,1.69,0.09575488095238094,2.615872918300436,0.05043404170415542,2.2338715591270355,-0.04595382302749258,-0.01581119047619046,0.3044179332939122
geom_060,19.92,18.69,10.42,5.9,3.31,2.0,0.09422702380952386,2.6998930864006905,0.04908997777080063,2.9636446215383763,-0.016753626463759292,-0.01371297619047618,0.2661320749121347
geom_061,10.68,13.12,9.37,4.23,1.97,3.36,0.14881154761904763,2.8290677854981614,0.06186770540140549,2.0496696472652647,-0.06846540406911301,-0.03128654761904761,0.29883159479138666
geom_062,21.01,18.0,12.63,5.45,2.33,3.02,0.07486511904761904,2.6166232201750117,0.051038192917426645,2.724338460229984,-0.02903415675046946,-0.007063452380952373,0.27690913820150026
geom_063,22.52,16.25,11.17,0.69,2.93,2.49,0.0795714285714286,2.576754906930491,0.0505987260207512,2.3680931785435213,-0.03994254881448223,-0.010639285714285693,0.30780111265563703
