id,rim_width_mm,rim_shoulder_mm,parting_line_mm,dome_mm,plate_thick_mm,nose_radius_mm,alpha_deg,Cl,Cd,Cm,n_iter
geom_000,12.35,16.32,11.65,1.67,1.9,2.5,-1.0,0.04368,0.05917,-0.02101,1000
geom_000,12.35,16.32,11.65,1.67,1.9,2.5,-4.0,-0.06056,0.05926,-0.0259,177
geom_000,12.35,16.32,11.65,1.67,1.9,2.5,11.0,0.68311,0.21951,0.02756,1000
geom_000,12.35,16.32,11.65,1.67,1.9,2.5,14.0,0.81837,0.28715,0.04524,1000
geom_000,12.35,16.32,11.65,1.67,1.9,2.5,2.0,0.20952,0.08166,-0.01736,1000
geom_000,12.35,16.32,11.65,1.67,1.9,2.5,5.0,0.38539,0.11715,-0.00749,1000
geom_000,12.35,16.32,11.65,1.67,1.9,2.5,8.0,0.54511,0.16545,0.00725,1000
geom_001,12.3,16.46,10.05,3.08,3.21,1.68,-1.0,0.0217,0.05449,-0.01732,210
geom_001,12.3,16.46,10.05,3.08,3.21,1.68,-4.0,-0.08405,0.06052,-0.02463,210
geom_001,12.3,16.46,10.05,3.08,3.21,1.68,11.0,0.69914,0.21215,0.02597,1000
geom_001,12.3,16.46,10.05,3.08,3.21,1.68,14.0,0.83467,0.27635,0.04715,1000
geom_001,12.3,16.46,10.05,3.08,3.21,1.68,2.0,0.16443,0.06259,-0.0082,197
geom_001,12.3,16.46,10.05,3.08,3.21,1.68,5.0,0.35632,0.09936,-0.00458,1000
geom_001,12.3,16.46,10.05,3.08,3.21,1.68,8.0,0.54595,0.15451,0.00546,1000
geom_002,11.19,17.89,13.56,3.91,1.7,3.57,-1.0,0.02806,0.0621,-0.0135,1000
geom_002,11.19,17.89,13.56,3.91,1.7,3.57,-4.0,-0.08082,0.06531,-0.02185,230
geom_002,11.19,17.89,13.56,3.91,1.7,3.57,11.0,0.69773,0.2405,0.02134,1000
geom_002,11.19,17.89,13.56,3.91,1.7,3.57,14.0,0.83538,0.30882,0.03799,1000
geom_002,11.19,17.89,13.56,3.91,1.7,3.57,2.0,0.22235,0.10029,-0.01964,1000
geom_002,11.19,17.89,13.56,3.91,1.7,3.57,5.0,0.38144,0.13191,-0.00771,1000
geom_002,11.19,17.89,13.56,3.91,1.7,3.57,8.0,0.54946,0.1827,0.00437,1000
geom_003,14.7,17.61,10.33,4.29,2.51,2.61,-1.0,0.02901,0.055,-0.0169,281
geom_003,14.7,17.61,10.33,4.29,2.51,2.61,-4.0,-0.06803,0.05954,-0.02462,220
geom_003,14.7,17.61,10.33,4.29,2.51,2.61,11.0,0.68443,0.20943,0.02502,1000
geom_003,14.7,17.61,10.33,4.29,2.51,2.61,14.0,0.82298,0.27587,0.04625,1000
geom_003,14.7,17.61,10.33,4.29,2.51,2.61,2.0,0.17611,0.07365,-0.01313,1000
geom_003,14.7,17.61,10.33,4.29,2.51,2.61,5.0,0.3414,0.09483,-0.00193,1000
geom_003,14.7,17.61,10.33,4.29,2.51,2.61,8.0,0.52935,0.15307,0.00592,1000
geom_004,12.7,16.73,8.25,2.12,2.0,2.45,-1.0,-0.00116,0.05752,-0.0162,1000
geom_004,12.7,16.73,8.25,2.12,2.0,2.45,-4.0,-0.1114,0.06285,-0.02203,192
geom_004,12.7,16.73,8.25,2.12,2.0,2.45,11.0,0.67908,0.19921,0.02617,1000
geom_004,12.7,16.73,8.25,2.12,2.0,2.45,14.0,0.82231,0.2621,0.04835,1000
geom_004,12.7,16.73,8.25,2.12,2.0,2.45,2.0,0.1894,0.07877,-0.01752,1000
geom_004,12.7,16.73,8.25,2.12,2.0,2.45,5.0,0.36586,0.10842,-0.00858,1000
geom_004,12.7,16.73,8.25,2.12,2.0,2.45,8.0,0.53039,0.15141,0.0053,1000
geom_005,9.04,15.27,9.93,3.99,2.64,2.78,-1.0,0.07847,0.06893,-0.03544,1000
geom_005,9.04,15.27,9.93,3.99,2.64,2.78,-4.0,-0.0499,0.07061,-0.04148,1000
geom_005,9.04,15.27,9.93,3.99,2.64,2.78,11.0,0.71947,0.22073,0.02077,1000
geom_005,9.04,15.27,9.93,3.99,2.64,2.78,14.0,0.85752,0.28445,0.0423,506
geom_005,9.04,15.27,9.93,3.99,2.64,2.78,2.0,0.24219,0.08537,-0.02909,1000
geom_005,9.04,15.27,9.93,3.99,2.64,2.78,5.0,0.42051,0.12212,-0.02013,1000
geom_005,9.04,15.27,9.93,3.99,2.64,2.78,8.0,0.57768,0.16756,-0.00139,1000
geom_006,13.37,19.12,12.04,5.87,1.95,3.03,-1.0,0.00105,0.05413,-0.00835,297
geom_006,13.37,19.12,12.04,5.87,1.95,3.03,-4.0,-0.08733,0.06288,-0.01817,237
geom_006,13.37,19.12,12.04,5.87,1.95,3.03,11.0,0.67093,0.21616,0.02324,1000
geom_006,13.37,19.12,12.04,5.87,1.95,3.03,14.0,0.82168,0.28733,0.04098,1000
geom_006,13.37,19.12,12.04,5.87,1.95,3.03,2.0,0.14844,0.07288,-0.00586,1000
geom_006,13.37,19.12,12.04,5.87,1.95,3.03,5.0,0.2912,0.084,0.00875,1000
geom_006,13.37,19.12,12.04,5.87,1.95,3.03,8.0,0.47806,0.1398,0.01576,1000
geom_007,17.46,18.96,11.1,2.76,1.96,3.47,-1.0,-0.00183,0.05239,-0.01034,288
geom_007,17.46,18.96,11.1,2.76,1.96,3.47,-4.0,-0.10082,0.06115,-0.02119,209
geom_007,17.46,18.96,11.1,2.76,1.96,3.47,11.0,0.59507,0.17173,0.04617,1000
geom_007,17.46,18.96,11.1,2.76,1.96,3.47,14.0,0.74526,0.2451,0.06046,1000
geom_007,17.46,18.96,11.1,2.76,1.96,3.47,2.0,0.15408,0.07053,-0.00496,1000
geom_007,17.46,18.96,11.1,2.76,1.96,3.47,5.0,0.29728,0.08747,0.01241,1000
geom_007,17.46,18.96,11.1,2.76,1.96,3.47,8.0,0.44094,0.11978,0.02873,1000
geom_008,9.58,15.67,9.25,4.33,2.31,2.84,-1.0,0.0442,0.05865,-0.0238,1000
geom_008,9.58,15.67,9.25,4.33,2.31,2.84,-4.0,-0.07734,0.06182,-0.02869,267
geom_008,9.58,15.67,9.25,4.33,2.31,2.84,11.0,0.72467,0.22079,0.0167,1000
geom_008,9.58,15.67,9.25,4.33,2.31,2.84,14.0,0.86477,0.2852,0.03833,203
geom_008,9.58,15.67,9.25,4.33,2.31,2.84,2.0,0.20805,0.07622,-0.02023,1000
geom_008,9.58,15.67,9.25,4.33,2.31,2.84,5.0,0.39269,0.11497,-0.0157,1000
geom_008,9.58,15.67,9.25,4.33,2.31,2.84,8.0,0.56623,0.16414,-0.00319,1000
geom_009,15.18,14.27,11.48,0.65,1.62,1.73,-1.0,0.00743,0.05573,-0.01365,1000
geom_009,15.18,14.27,11.48,0.65,1.62,1.73,-4.0,-0.11079,0.05926,-0.02236,1000
geom_009,15.18,14.27,11.48,0.65,1.62,1.73,11.0,0.61888,0.19707,0.04193,1000
geom_009,15.18,14.27,11.48,0.65,1.62,1.73,14.0,0.73483,0.25878,0.05602,1000
geom_009,15.18,14.27,11.48,0.65,1.62,1.73,2.0,0.18058,0.07675,-0.00938,1000
geom_009,15.18,14.27,11.48,0.65,1.62,1.73,5.0,0.34431,0.10194,0.00615,1000
geom_009,15.18,14.27,11.48,0.65,1.62,1.73,8.0,0.48991,0.14475,0.02538,1000
geom_010,19.48,17.04,9.29,5.16,2.87,2.43,-1.0,0.02671,0.04789,-0.01823,251
geom_010,19.48,17.04,9.29,5.16,2.87,2.43,-4.0,-0.06619,0.05631,-0.02935,605
geom_010,19.48,17.04,9.29,5.16,2.87,2.43,11.0,0.6405,0.18282,0.03378,1000
geom_010,19.48,17.04,9.29,5.16,2.87,2.43,14.0,0.78456,0.24563,0.05544,1000
geom_010,19.48,17.04,9.29,5.16,2.87,2.43,2.0,0.16008,0.05482,-0.00718,546
geom_010,19.48,17.04,9.29,5.16,2.87,2.43,5.0,0.32975,0.08585,0.00185,1000
geom_010,19.48,17.04,9.29,5.16,2.87,2.43,8.0,0.49599,0.1327,0.01351,1000
geom_011,16.35,14.67,8.52,3.55,1.71,1.67,-1.0,0.04305,0.04861,-0.02216,502
geom_011,16.35,14.67,8.52,3.55,1.71,1.67,-4.0,-0.053,0.05422,-0.03204,209
geom_011,16.35,14.67,8.52,3.55,1.71,1.67,11.0,0.68858,0.19435,0.03172,1000
geom_011,16.35,14.67,8.52,3.55,1.71,1.67,14.0,0.81842,0.25611,0.05493,182
geom_011,16.35,14.67,8.52,3.55,1.71,1.67,2.0,0.20224,0.06172,-0.01446,1000
geom_011,16.35,14.67,8.52,3.55,1.71,1.67,5.0,0.38332,0.09707,-0.00694,1000
geom_011,16.35,14.67,8.52,3.55,1.71,1.67,8.0,0.54248,0.14033,0.00958,1000
geom_012,10.86,15.8,12.76,1.72,1.78,2.57,-1.0,0.00583,0.05922,-0.01113,1000
geom_012,10.86,15.8,12.76,1.72,1.78,2.57,-4.0,-0.10385,0.06388,-0.01957,214
geom_012,10.86,15.8,12.76,1.72,1.78,2.57,11.0,0.66702,0.21811,0.02812,1000
geom_012,10.86,15.8,12.76,1.72,1.78,2.57,14.0,0.79848,0.28305,0.04164,194
